qw5gR8vW7mSOK4VROSwdMA,Z_WAxc4RUpKp3y12BH1bEg,4,0
Q0t7EEaygJ2hb4uFn79owQ,bkIgi_PJyr6-2doVwu_ojw,4,1
jTPr0dFk2JgGYdDiIGro3Q,NNFVXXEkb9Ur2ihVk_lW7A,5,0
pTTUqKB3TxaW43ElWl6aOQ,c4mkYDTjJc-_lOM32YaPPQ,4,0
65MiV69VtIsGI26wQNfs8w,5zJb65C8iLUFVfkbRHmnUQ,5,0
E4d4Qc5ds7GHcfoMeoBWvQ,5QVSMS-vV4jOgDLLPV75Mw,3,0
VjPL-sjGh1fwn9VA6ooAkA,K2GXS6XJyXu01FC6_FKmNg,4,0
4EljqY21fLOtLaoWCJlsIQ,eRX4tjUzNE0LGLwbGdkqwg,4,0
GUoVncYpFzfxt2HJZFBqDw,XXsKHHyzJWW5KWw63lug-w,4,13
MAaCTnK9eiDUjwUGUTLaMA,3x8lZ-EoBhg-mw21BRITuQ,4,0
XRMlDR9xjIHE6RVzP3HctQ,7U7MI0-KyE8QY4ov1lfsYw,2,3
Ckjlcv3mOPnCosSEPb4tmg,wCtf5_zG8EpWiBp_Oi7P0g,3,5
EmZ9_DdX3ClgM9hNqbqo_w,Qx5bz4luino7htScnjwsMA,2,1
56USR7ZY3Gsm4lR42yMQSg,U2UV3IRUqiRdMVROKjXfLg,4,2
FqQi-ExFm5xR9uNYhBIqNw,22oxX_SY3fpAXljL0MKXIg,3,4
2ych5tIo2EGGNfsswKEWRA,mBBGHMLDDmtptNIu039RwA,3,0
fG-UbYw0DkImsirfAd7hLg,kORGcgi0Iw2RG8gJl84MVA,5,0
9bbwPNPYXqP83reSK-hASg,_BcWyKQL16ndpBdggh2kNA,2,3
RiZqeuLN-3y04yh4c20Y0A,Y5oH9VlzH0IfhCQ3SSESoQ,4,0
piXuRfZ81xFGA64WFJrKkQ,s1kcPeZm4tueIoC0mnafCg,5,1
tZT_0yAeFxuihVnGXoCbWQ,N8Iriob3n95cfybxXF19DA,5,2
aysngmx-Tqb7Lpyx9f6yPw,SIP1Dfwy1M0HWzdgGg9H9g,2,2
rKirSxY1-ScGEzQjfYSI2A,hBicl52tMVsTecdZSVL-lQ,3,6
Yk3KzKmdNRxSdhsc2Hsmpg,A1D0quQaZ1k6YtjmV9tvRA,2,4
9YeSEzr8HZMCuQlAyr8FPw,lCXKbSVJYJpUVpZlG4FZIg,4,0
EiNbPFyAdHB4YGQGjygj4w,2PhBFRUiNiXdmkYoKf8brA,5,1
67pDG1UqmMYym-LqtDdnGw,h3hhB5s03e_CHUMvX9xIOQ,5,0
58oVEzvF6EnOmvVkXYFkTg,iJp3Wu-pYl7osiYqz1Gv7A,4,1
4dnYY1clI8Z3Oj2oLWVwag,XBNtqhc72X57VK8GLNbsGg,4,3
6fH20sLUGIYcaBAN-ZSieA,TM2Sa1ATH92VHB5tIqSAbQ,4,1
XyCYPxeZd54UWgIFXsjtgw,NOSX_lFBzce4z38j6D_0Pw,3,1
EAYBdA_ZWXcHmH9rYtIdHg,aEGy13uGCMQVf00QZYn1Vw,3,13
oIgx5AEdeBnsibH7GJc2fg,jiIJblzURKNWvC82N8iSOw,2,7
5QOE1BoQsRtmPDhcnXxXeA,ezJj-pxd6dWJ4C3MT3JTzQ,1,0
M487o17d25K9Jnrf-bKFQQ,x5JyTA3gsFNqsIVFMW5yaw,5,1
BZ90gSrU0PdZTpGBaXYMUg,OEFwXYlkHFTsVXHzKCuEOA,5,1
zD04ZpH32mTKK3kLC4t07Q,itXMelaTleEjLIFWCJtnwg,4,4
BJsVuk2sK7bE7vqCVxLgKQ,QJW33YrUGp-wVMI8M5mObg,5,2
ZRm8fSEBn8DsSLD4o7T4hQ,3F4jxfkqZN76wZuSF2OAaw,2,0
gHWuPrcFbjlf0R0LO-SqXA,1P9BpFZ_d3PGCdytDTYJCw,5,0
AfJCoI9vYrj1lnhlNhZdfw,f_1bRw8RuK-zZAKuUMTqNw,4,0
vxtVFSa9_sFrUA4NYe4EJA,5F_ASUSCHFf3YotkKioZ5w,5,1
AfJCoI9vYrj1lnhlNhZdfw,Q1AiKMOBQxSYlMcHF5VjfQ,4,2
gYbX_IfkzWme4ItyXb_lgw,WhS2qBNfKSE4aqIACx8STw,4,0
KpUOz5tuL-lPrusZhh17rg,2RKfUSVZBeTJ-_X9bmGmKQ,4,3
PC-x4Om-XXGqFn0ludTykw,0LwN37IQHOPTSpVTmG1eKQ,4,0
nSUn-EHKm5dNixSB8AwiRg,ePUDFy1Ho0AqLPVLhhTSvw,5,0
HpPvP7jgtJkmzJX0j2y77Q,5QVSMS-vV4jOgDLLPV75Mw,3,0
qB1llEIBbd11PEsYE8EaDA,href87WzXraMQUb3Qo4_SQ,3,1
oOpNlrDr0ioDS5j4dKfKrQ,-iLH3Q2Wg4AMrNUXcgvliA,3,1
dVBp-ayxdvwG95BYfqKwDw,IxiVty8zfZC093jiaFaG3A,5,4
TA8Jj9Gsl6gvNrIP8hpvew,Y-NNQeAU85lNF78CIIETUA,5,4
rvUrNQTh5gjXMOJxuYWNKQ,teo98XObbEewDHqiJDrxMg,2,1
ptaI45_CQ-FFw5_r85xUdg,qI3uzegMdq3q3WxAajECGw,4,8
YFkrZhuA1phCiJB1EJV39w,08mOpJRCpZe3D8UHszP4FA,4,1
Y7mcDkhC2TDxZkfATmZH6w,t9e9-sMgkg0DhNHzstc1Ww,3,0
RrczVxs8amaeQm-bVx96sA,sa1oAg2Y762kz7p7IHryFw,3,0
IotuxJ8M1kDe9lK-cd1asQ,S8pJl7oo2POc17HoBuXM_g,5,1
G4K5wXUe3aZ387yS1Gju7A,6TYsQaSKZaE3VI9bqQIDIA,5,0
Svho0F2hk_LzqYxKEUB7AA,L0zMk5SXnqR0JLEe0XY20g,1,1
piXuRfZ81xFGA64WFJrKkQ,V2ju842FOIBUjgvEKD1i3A,5,2
zQ7RsnP1dWVJsUNRWE3DhA,QXEl6DiNwZjIZin8rOrirg,2,3
04ZBAOo6ffXkhSICqngaIQ,4TCOItk-gIJROyNA5ftZ-Q,3,0
gomSgjEesyhMgdN8w2tBOA,0x3eNQsUzwD8yH49eE3h0Q,4,1
Zq_fVOoy27cdkKO_CcP8eg,dD1_XwgaHM0oxlx2XeYgZw,4,2
6mDTbpkVeRkrLy6M6SeN6Q,2RKfUSVZBeTJ-_X9bmGmKQ,5,0
etnsoP9A55sKckLtC1MMLA,1w_QkIakyV7zvNCCuuyqUQ,4,0
FJlMfEtr7E-uTzUxspuzIg,UTr4PU6YlsaywlAR1afdlg,4,1
hiDE5dQEednRzRN489EQCg,89PdBMBtNBZr94Wrn331Hw,4,0
8-tgw8B_rsN_RyWnv4Aw6Q,KRq0mrRp9IyHHDrSjeHNbA,2,2
sHykt7KYv3W-66t-IFp31g,uNIyxmljF0IVuVEifJNQ6g,3,1
vC_JaMwrNzC1Nuu5ITUyCg,x5JyTA3gsFNqsIVFMW5yaw,2,2
LQ76xwYb7rJNzdY3xsYHvw,AloAQLILUK2HirC64UDFHQ,3,0
JDcwjWk3sO28D-LY-4Zwwg,vivFH2_uIcOyqel-cHmxLA,5,6
284kIQVaoHew0YeiywIHhg,cBxCAIIec1O-U4npz7w7TQ,5,0
Rii78kjj-488O-ehx3f6Jw,rBXtnb1_1I4lEgIFMNKjuA,3,0
fQJ0JhjEoSZPts839cYEaA,UtkjXTiMfGRz4R1zDF3Kxg,5,5
d1PfS_bozULtBY4PjF3D-w,4_M1cSLdm7tEnPkva0ZESQ,3,0
yoem-KW_Jln0LqsdLwLeUQ,-iLH3Q2Wg4AMrNUXcgvliA,3,3
boj58MzwMesNagJtQTLhlA,dlH4Vq5Q794IDHYkzlRxBA,3,0
yo_WAOnE2pPHCQduq_V_ZA,xT9MCYz0k5JX5pPheZUuKw,4,0
eYzNsTc9BXKIPP7FXx5kjg,rBXtnb1_1I4lEgIFMNKjuA,5,1
SjHffWyYrmra21OJN78SJw,AmWBYdyXJRxPKKW6HMhRrQ,4,1
6hB7VgJYGaZilc0m1n1ezA,NoS9XA3U7d2rTcXPXaVlwg,5,0
XULxeo5IEf1z44RO4AkKnA,itXMelaTleEjLIFWCJtnwg,3,0
58cDJU4cub1o0o0B4h9GrA,8cvp_IjFGoGPq5RU51KRAg,4,1
b2yLnFM7tqv6b2VfQNSrlA,ukCAVNbolx0_gaAkDYZnEA,4,1
tJwomYMNjpd4A31rDMXMCw,eN00PkgPgiw5vcdP44JRIQ,3,0
JrGSfjRqAtIZjjwC3FFQ4w,7vSrV3WZqBMuftHDiXAlnQ,4,1
lx7wE8QpkwLekV7lcjWmXg,wo-LvQxKQGV_s9ESqioQ-g,3,0
9N684D-RFrQC0V4K0XvdxQ,i_pv-Tv5DQnUXO7ikQRkKA,4,1
ymKw4Izgcz5F8eEozykNkw,D4un9kv2gb3jaPDS7NMELg,3,0
e5fWoLchFxXDpudnqSa9lQ,O3slQM5zE77Ga6qrxfpKoQ,2,3
g5S6Q9W0IwN5AEK3fNWzbw,s7iQ8eVYEC1KwUGypK8hSA,2,0
Q0j0-u8WHHczEg5c9DPQKg,D-anvESbGXSH60T4AalPEg,3,3
xULATz2siGXOPia614mg2A,PD3X7S70zXHeOx1NjeicjQ,2,0
8fDhtPpDAnFN44LVUIe3qQ,IRvdERIP6WvFcKruVgAAFA,3,2
uPknXsvEOcrN5xk5fsVLPQ,5F_ASUSCHFf3YotkKioZ5w,3,0
e9KXojla4OuVP7qcC5LNsg,urSKn10Gvgm8FfJM1d-Mlw,3,0
ResTVefi8Km1RpTuWkqFvw,VAI4LygxcbgHctXSS63kbg,4,2
Q0j0-u8WHHczEg5c9DPQKg,fuvs3i5ywXRFo90uVt1tDw,2,2
pZIjbdQQ-OxqmRgNoXQy6A,RwFMbKklySC3yxf5M4y85Q,5,1
IKpwHpcHWvvQmlfX7IgYWg,qYRCXJTTvjZZOHnEhgkEPQ,4,0
Zc3hqSZHkuELzpyRmv6nrQ,Myy-tV1aKksxkQ2R7QUkAQ,4,2
T8sFo4cijoGTDfKg8tA_9Q,AuQyb-DwtIpNIZV6mwEKIA,4,0
m1ohyfs8gcS9X-ZQ3Coj2Q,bBd8sOgkhbaEeZHjczV8ZQ,4,3
Kq6uUzRw-iaqe4p7cLLmBQ,HHd2OoENubRYzD6ChZaIQQ,4,0
